ID;Topicp_1;Topico_2;Topico_3;retweet_count;reply_count;like_count;quote_count;impression_count;bookmark_count
0;Uruguay;MundialSub20;Gol;0;0;0;0;0;
1;Uruguay;MundialSub20;Gambia;0;0;0;0;0;
2;Uruguay;MundialSub20;Gol;0;0;0;0;0;
3;Uruguay;MundialSub20;Gol;0;0;0;0;0;
4;Ecuador;MundialSub20;Christian García Cajas;1;0;0;0;0;
5;Uruguay;MundialSub20;Gol;0;0;0;0;0;
6;Tirano;Negar;Racismo;101;0;0;0;0;
7;Uruguay;MundialSub20;Gol;0;0;0;0;0;
8;Uruguay;MundialSub20;Gol;0;0;0;0;0;
9;Gambia;Uruguay;MundialSub20;1;0;0;0;0;
10;MundialSub20;Partido;Octavos;0;0;0;0;0;
11;Argentina;Desastre;Nacho Saldombide;0;0;0;0;0;
12;Argentina;Racismo;Brasil;0;0;0;0;0;
13;Vamos;MundialSub20;Uruguay;0;0;0;0;0;
14;Anderson Duarte;MundialSub20;Golazo;0;0;0;0;0;
15;Uruguay;MundialSub20;DeLosSantos;0;0;0;0;0;
16;Argentina;Goleada;Blog del Narco;0;0;0;0;0;
17;Uruguay;Gambia;MundialSub20;0;0;0;0;0;
18;Uruguay;Gambia;MundialSub20;0;0;0;0;0;
19;Uruguay;MundialSub20;Gol;0;0;0;0;0;
20;Argentina;Penal;MundialSub20;0;0;0;0;0;
21;Comentarios;Fútbol;Preocupante;0;0;0;0;0;
22;Partido;Goleada;Blog del Narco;0;0;0;0;0;
23;MundialSub20;Hipocresía;Argentina;0;0;0;0;0;
24;Karma;Repudio;Propia medicina;0;0;0;0;0;
25;Barcelona;Mina;Uruguay;0;0;0;0;0;
26;Randall Rodriguez;Gandalf;Uruguay;0;0;0;0;0;
27;Uruguay;MundialSub20;Golazo;1;0;0;0;0;
28;Uruguay;MundialSub20;Gol;0;0;0;0;0;
29;Ecuador;Corea del Sur;MundialSub20;0;0;0;0;0;
30;MundialSub20;Ecuador;Corea;0;0;0;0;0;
31;MundialSub20;Anderson Duarte;Defensor Sporting;7;0;0;0;0;
32;MundialSub20;Anderson Duarte;Uruguay;1;0;0;0;0;
33;Golazo;Pibe;;0;0;0;0;0;
34;MundialSub20;Corea;Ecuador;0;0;0;0;0;
35;Argentina;;;0;0;0;0;0;
36;MundialSub20;LaTri;Corea del Sur;0;0;0;0;0;
37;MundialSub20;Nigeria;Argentina;0;0;0;0;0;
38;Mundialsub20;Ecuador;Asia;0;0;0;0;0;
39;Francia;;;0;0;0;0;0;
40;MundialSub20;Futuras estrellas;Racing;0;0;0;0;0;
41;MundialSub20;Eliminación;Morrongos;0;0;0;0;0;
42;MundialSub20;Mini Tri;PandaIptv;1;0;0;0;0;
43;MundialSub20;Uruguay;Ecuador;0;0;0;0;0;
44;MundialSub20;Justin Cuero;Corea del Sur;0;0;0;0;0;
45;Tapia;MundialSub20;Argentina;1;0;0;0;0;
46;Negro;TyCSports;;0;0;0;0;0;
47;MundialSub20;Ecuador;Corea del Sur;1;0;0;0;0;
48;Periodistas;Minutos;Tapas;0;0;0;0;0;
49;MundialSub20;Mora Godoy;Éxitos;0;0;0;0;0;
50;MundialSub20;Futuras estrellas;Homenaje;0;0;0;0;0;
51;CoolbetEcuador;MundialSub20;Kendry Páez;1;0;0;0;0;
52;Uber;Accidente;;0;0;0;0;0;
53;Periodistas;Minutos;Descuento;0;0;0;0;0;
54;Ganadores;Francia;Códigos;1;0;0;0;0;
55;MundialSub20;Colombia;Italia;0;0;0;0;0;
56;MundialSub20;Ecuador;Corea del Sur;0;0;0;0;0;
57;MundialSub20;Mora Godoy;Éxitos;0;0;0;0;0;
58;MundialSub20;Ecuador;Corea del Sur;0;0;0;0;0;
59;Argentina;Llorar;Chamaco;0;0;0;0;0;
60;Charrúas;Meridionales;MundialSub20;0;0;0;0;0;
61;MundialSub20;FCFSeleccionCol;SanMartínDeSanJuan;1;0;0;0;0;
62;Uruguay;MundialSub20;Terminar;0;0;0;0;0;
63;MundialSub20;Gambia;Uruguay;0;0;0;0;0;
64;MundialSub20;Uruguay;EstadosUnidos;0;0;0;0;0;
65;Nigeria;Ecuador;CoreadelSur;1;0;0;0;0;
66;URUGUAYSUB20;Mundiales;Historial;1;0;0;0;0;
67;MundialSub20;Uruguay;Sub20;0;0;0;0;0;
68;UruguaySub20;MundialSub20;Africa;0;0;0;0;0;
69;MundialSub20;Gambia;Uruguay;0;0;0;0;0;
70;MundialSub20;Uruguay;Gambia;0;0;0;0;0;
71;UruguaySub20;MundialSub20;Eliminatorias;0;0;0;0;0;
72;Llorones;Alegría;Mundial;0;0;0;0;0;
73;MundialSub20;Uruguay;Gambia;0;0;0;0;0;
74;UruguaySub20;MundialSub20;Africa;0;1;0;0;0;
75;Uruguay;MundialSub20;Gambia;0;1;0;0;0;
76;Uruguay;MundialSub20;EEUU;0;0;0;0;0;
77;Uruguay;MundialSub20;Gambia;33;0;0;0;0;
78;MundialSub20;Uruguay;Gambia;0;0;0;0;0;
79;Uruguay;MundialSub20;Gurises;0;0;0;0;0;
80;Uruguay;MundialSub20;EstadosUnidos;4;0;0;0;0;
81;Uruguay;MundialSub20;Inglaterra;0;0;0;0;0;
82;Uruguay;MundialSub20;EEUU;0;0;0;0;0;
83;Uruguay;MundialSub20;AndersonDuarte;0;0;0;0;0;
84;Mufas;Sub20;MundialSub20;0;0;0;0;0;
85;Roma;Sevilla;EuropaLeague;0;0;0;0;0;
86;Argentina;Nigeria;MundialSub20;0;0;0;0;0;
87;Contrarios;MundialSub20;Mejores8;0;0;0;0;0;
88;FalacioReloaded;MundialSub20;Comentarista;0;0;0;0;0;
89;Uruguay;MundialSub20;Gambia;0;0;0;0;0;
90;MundialSub20;fotos;;0;0;0;0;0;
91;Ecuador;clasificación;MundialSub20;0;0;0;0;0;
92;Uruguay;Gambia;MundialSub20;0;0;0;0;0;
93;MundialSub20;Uruguay;Gambia;0;0;0;0;0;
94;MundialSub20;Italia;Colombia;0;0;0;0;0;
95;MundialSub20;TyCSports;kirchnerista;0;0;0;0;0;
96;MundialSub20;fotos;;0;1;0;0;0;
97;TyCSports;Mascherano;MundialSub20;0;1;0;0;0;
98;Uruguay;CuartosDeFinal;MundialSub20;0;0;0;0;0;
99;colo barco;MundialSub20;defensa;0;0;0;0;0;
100;LaTri;octavos de final;MundialSub20;68;0;0;0;0;
101;TyCSports;periodistas;Ecuruguay;0;0;0;0;0;
102;MundialSub20;jugador;inflado;0;0;0;0;0;
103;Argentina;Nigeria;eliminación;0;0;0;0;0;
104;TyCSports;periodistas;Ecuruguay;0;0;0;0;0;
105;MundialSub20;diarios;deportivos;0;0;0;0;0;
106;MundialSub20;FIFA;Ecuador;0;0;0;0;0;
107;RepúblicaDeCorea;MundialSub20;final;2;0;0;0;0;
108;MundialSub20;entrenamiento;octavos;3;0;0;0;0;
109;MundialSub20;Ecuador;CoreaDelSur;0;0;0;0;0;
110;MundialSub20;Nigeria;racismo;0;0;0;0;0;
111;TyCSports;MundialSub20;humildad;1;0;0;0;0;
112;MundialSub20;Selección;Argentina;0;0;1;0;0;
113;MundialSub20;Uruguay;Gambia;0;0;0;0;0;
114;MundialSub20;FootballManager;twitch;23;0;0;0;0;
115;NuevaFotoDePerfil;Uruguay;MundialSub20;0;0;0;0;0;
116;MundialSub20;Ecuador;lesión;0;0;0;0;0;
117;MundialSub20;Uruguay;Gambia;0;0;0;0;0;
118;Uruguay;MundialSub20;CuartosDeFinal;2;0;0;0;0;
119;Uruguay;Gambia;MundialSub20;0;0;0;0;0;
120;MundialSub20;Selección Uruguaya;octavos de final;0;0;0;0;0;
121;MundialSub20;Uruguay;clasificación;0;0;0;0;0;
122;partido bravo;Nigeria;esperanza;0;0;0;0;0;
123;MundialSub20;apoyo;equipo;1;0;0;0;0;
124;MundialSub20;Uruguay;Cuartos de Final;0;0;0;0;0;
125;MundialSub20;Uruguay;victoria;0;0;0;0;0;
126;MundialSub20;Ecuador;Corea del Sur;0;0;0;0;0;
127;MundialSub20;Ecuador;Corea del Sur;0;0;0;0;0;
128;MundialSub20;Ecuador;Corea del Sur;13;0;0;0;0;
129;MundialSub20;Uruguay;Gambia;0;0;0;0;0;
130;MundialSub20;Ecuador;Corea del Sur;0;0;0;0;0;
131;oferta;contenido;adultos;1;0;0;0;0;
132;MundialSub20;apoyo;Ecuador;0;0;0;0;0;
133;MundialSub20;Argentina;Qatar;0;1;0;0;0;
134;MundialSub20;LaTri;alineación;0;1;0;0;0;
135;MundialSub20;jugadores;Argentina;0;0;0;0;0;
136;MundialSub20;Ecuador;Corea del Sur;0;0;0;0;0;
137;MundialSub20;Argentina;Nigeria;0;0;0;0;0;
138;MundialSub20;ritual;jugador;0;0;0;0;0;
139;MundialSub20;Ecuador;Corea del Sur;0;0;0;0;0;
140;MundialSub20;LaTri;Corea del Sur;0;0;0;0;0;
141;MundialSub20;Ecuador;Corea del Sur;1;0;0;0;0;
142;MundialSub20;apoyo;LaTri;0;0;0;0;0;
143;fútbol;programa;televisión;0;0;0;0;0;
144;Argentina;fracaso;vergüenza;0;0;0;0;0;
145;Uruguay;apoyo;insulto;0;0;0;0;0;
146;MundialSub20;Ecuador;Corea del Sur;0;0;0;0;0;
147;MundialSub20;Ecuador;once inicial;0;0;0;0;0;
148;MundialSub20;Ecuador;Corea del Sur;1;0;0;0;0;
149;MundialSub20;Ecuador;Corea del Sur;0;0;0;0;0;
150;MundialSub20;CoreaDelSur;OnceInicial;1;0;0;0;0;
151;MundialSub20;LaTri;OnceTitular;0;0;0;0;0;
152;MundialSub20;LaTri;CoreaDelSur;0;0;0;0;0;
153;MundialSub20;Pibes;Argentina;0;0;0;0;0;
154;TyCSports;Pibes;Generaciones;1;0;0;0;0;
155;MundialSub20;Uruguay;Gambia;0;0;0;0;0;
156;LaTri;OnceTitular;MundialSub20;0;0;0;0;0;
157;AGEcuador;Ecuador;CoreadelSur;0;0;0;0;0;
158;MundialSub20;Uruguay;Gambia;1;0;0;0;0;
159;MundialSub20;Argentina;Fotos;0;0;0;0;0;
160;LaTri;Suplentes;MundialSub20;0;0;0;0;0;
161;MundialSub20;Pibes;Argentina;0;0;0;0;0;
162;Ecuador;CoreaDelSur;Alineación;0;0;0;0;0;
163;Ecuador;CoreaDelSur;Alineaciones;1;0;0;0;0;
164;GMtvecuador;EcuadorSub20;CoreaDelSur;0;0;0;0;0;
165;Argentina;Eliminación;MundialSub20;77;0;0;0;0;
